Date,County,State,Travis
3/4/2020,Travis,TX,0
3/5/2020,Travis,TX,0
3/6/2020,Travis,TX,0
3/7/2020,Travis,TX,0
3/8/2020,Travis,TX,0
3/9/2020,Travis,TX,0
3/10/2020,Travis,TX,0
3/11/2020,Travis,TX,0
3/12/2020,Travis,TX,0
3/13/2020,Travis,TX,0
3/14/2020,Travis,TX,0
3/15/2020,Travis,TX,2
3/16/2020,Travis,TX,2
3/17/2020,Travis,TX,3
3/18/2020,Travis,TX,4
3/19/2020,Travis,TX,7
3/20/2020,Travis,TX,21
3/21/2020,Travis,TX,22
3/22/2020,Travis,TX,22
3/23/2020,Travis,TX,22
3/24/2020,Travis,TX,79
3/25/2020,Travis,TX,98
3/26/2020,Travis,TX,119
3/27/2020,Travis,TX,137
3/28/2020,Travis,TX,160
3/29/2020,Travis,TX,179
3/30/2020,Travis,TX,200
3/31/2020,Travis,TX,206
4/1/2020,Travis,TX,244
4/2/2020,Travis,TX,305
4/3/2020,Travis,TX,351
4/4/2020,Travis,TX,430
4/5/2020,Travis,TX,460
4/6/2020,Travis,TX,484
4/7/2020,Travis,TX,502
4/8/2020,Travis,TX,554
4/9/2020,Travis,TX,597
4/10/2020,Travis,TX,642
4/11/2020,Travis,TX,690
4/12/2020,Travis,TX,744
4/13/2020,Travis,TX,774
4/14/2020,Travis,TX,856
4/15/2020,Travis,TX,900
4/16/2020,Travis,TX,977
4/17/2020,Travis,TX,1029
4/18/2020,Travis,TX,1074
4/19/2020,Travis,TX,1092
4/20/2020,Travis,TX,1108
4/21/2020,Travis,TX,1174
4/22/2020,Travis,TX,1233
4/23/2020,Travis,TX,1263
4/24/2020,Travis,TX,1312
4/25/2020,Travis,TX,1379
4/26/2020,Travis,TX,1396
4/27/2020,Travis,TX,1412
4/28/2020,Travis,TX,1464
4/29/2020,Travis,TX,1539
4/30/2020,Travis,TX,1591
5/1/2020,Travis,TX,1654
5/2/2020,Travis,TX,1683
5/3/2020,Travis,TX,1714
5/4/2020,Travis,TX,1756
5/5/2020,Travis,TX,1816
5/6/2020,Travis,TX,1876
5/7/2020,Travis,TX,1946
5/8/2020,Travis,TX,2002
5/9/2020,Travis,TX,2071
5/10/2020,Travis,TX,2095
5/11/2020,Travis,TX,2127
5/12/2020,Travis,TX,2171
5/13/2020,Travis,TX,2235
5/14/2020,Travis,TX,2288
5/15/2020,Travis,TX,2345
5/16/2020,Travis,TX,2381
5/17/2020,Travis,TX,2425
5/18/2020,Travis,TX,2459
5/19/2020,Travis,TX,2537
5/20/2020,Travis,TX,2595
5/21/2020,Travis,TX,2644
5/22/2020,Travis,TX,2712
5/23/2020,Travis,TX,2761
5/24/2020,Travis,TX,2788
5/25/2020,Travis,TX,2847
5/26/2020,Travis,TX,2933
5/27/2020,Travis,TX,2984
5/28/2020,Travis,TX,3057
5/29/2020,Travis,TX,3124
5/30/2020,Travis,TX,3186
5/31/2020,Travis,TX,3232
6/1/2020,Travis,TX,3272
6/2/2020,Travis,TX,3360
6/3/2020,Travis,TX,3433
6/4/2020,Travis,TX,3501
6/5/2020,Travis,TX,3562
6/6/2020,Travis,TX,3616
6/7/2020,Travis,TX,3662
6/8/2020,Travis,TX,3697
6/9/2020,Travis,TX,3815
6/10/2020,Travis,TX,3976
6/11/2020,Travis,TX,4109
6/12/2020,Travis,TX,4238
6/13/2020,Travis,TX,4314
6/14/2020,Travis,TX,4461
6/15/2020,Travis,TX,4545
6/16/2020,Travis,TX,4664
6/17/2020,Travis,TX,4771
6/18/2020,Travis,TX,4991
6/19/2020,Travis,TX,4991
6/20/2020,Travis,TX,5286
6/21/2020,Travis,TX,5704
6/22/2020,Travis,TX,6210
6/23/2020,Travis,TX,6339
6/24/2020,Travis,TX,6596
6/25/2020,Travis,TX,6914
6/26/2020,Travis,TX,7097
6/27/2020,Travis,TX,7097
6/28/2020,Travis,TX,7825
6/29/2020,Travis,TX,8461
6/30/2020,Travis,TX,8969
7/1/2020,Travis,TX,9527
7/2/2020,Travis,TX,10124
7/3/2020,Travis,TX,10695
7/4/2020,Travis,TX,11009
7/5/2020,Travis,TX,11131
7/6/2020,Travis,TX,11679
7/7/2020,Travis,TX,11926
7/8/2020,Travis,TX,12408
7/9/2020,Travis,TX,13161
7/10/2020,Travis,TX,13864
7/11/2020,Travis,TX,14304
7/12/2020,Travis,TX,14622
7/13/2020,Travis,TX,14788
7/14/2020,Travis,TX,15445
7/15/2020,Travis,TX,15998
7/16/2020,Travis,TX,16570
7/17/2020,Travis,TX,16983
7/18/2020,Travis,TX,17215
7/19/2020,Travis,TX,17454
7/20/2020,Travis,TX,17646
7/21/2020,Travis,TX,17791
7/22/2020,Travis,TX,18394
7/23/2020,Travis,TX,18696
7/24/2020,Travis,TX,18939
7/25/2020,Travis,TX,19177
7/26/2020,Travis,TX,19401
7/27/2020,Travis,TX,19480
7/28/2020,Travis,TX,19720
7/29/2020,Travis,TX,19952
7/30/2020,Travis,TX,20187
7/31/2020,Travis,TX,20465
8/1/2020,Travis,TX,20745
8/2/2020,Travis,TX,20967
8/3/2020,Travis,TX,21214
8/4/2020,Travis,TX,21549
8/5/2020,Travis,TX,21822
8/6/2020,Travis,TX,22024
8/7/2020,Travis,TX,22256
8/8/2020,Travis,TX,22480
8/9/2020,Travis,TX,22602
8/10/2020,Travis,TX,22724
8/11/2020,Travis,TX,22953
8/12/2020,Travis,TX,23249
8/13/2020,Travis,TX,23421
8/14/2020,Travis,TX,23718
8/15/2020,Travis,TX,23870
8/16/2020,Travis,TX,24008
8/17/2020,Travis,TX,24144
8/18/2020,Travis,TX,24409
8/19/2020,Travis,TX,24759
8/20/2020,Travis,TX,25062
8/21/2020,Travis,TX,25353
8/22/2020,Travis,TX,25559
8/23/2020,Travis,TX,25640
8/24/2020,Travis,TX,25736
8/25/2020,Travis,TX,25890
8/26/2020,Travis,TX,26017
8/27/2020,Travis,TX,26117
8/28/2020,Travis,TX,26239
8/29/2020,Travis,TX,26307
8/30/2020,Travis,TX,26316
8/31/2020,Travis,TX,26434
9/1/2020,Travis,TX,26516
9/2/2020,Travis,TX,26523
9/3/2020,Travis,TX,26622
9/4/2020,Travis,TX,26726
9/5/2020,Travis,TX,26854
9/6/2020,Travis,TX,26931
9/7/2020,Travis,TX,26969
9/8/2020,Travis,TX,27038
9/9/2020,Travis,TX,27124
9/10/2020,Travis,TX,27206
9/11/2020,Travis,TX,27424
9/12/2020,Travis,TX,27525
9/13/2020,Travis,TX,27578
9/14/2020,Travis,TX,27701
9/15/2020,Travis,TX,27776
9/16/2020,Travis,TX,27961
9/17/2020,Travis,TX,28103
9/18/2020,Travis,TX,28212
9/19/2020,Travis,TX,28375
9/20/2020,Travis,TX,28438
9/21/2020,Travis,TX,28441
9/22/2020,Travis,TX,28596
9/23/2020,Travis,TX,28643
9/24/2020,Travis,TX,28745
9/25/2020,Travis,TX,28904
9/26/2020,Travis,TX,29073
9/27/2020,Travis,TX,29130
9/28/2020,Travis,TX,29252
9/29/2020,Travis,TX,29343
9/30/2020,Travis,TX,29421
10/1/2020,Travis,TX,29514
10/2/2020,Travis,TX,29576
10/3/2020,Travis,TX,29647
10/4/2020,Travis,TX,29750
10/5/2020,Travis,TX,29799
10/6/2020,Travis,TX,29857
10/7/2020,Travis,TX,29952
10/8/2020,Travis,TX,29997
10/9/2020,Travis,TX,30075
10/10/2020,Travis,TX,30165
10/11/2020,Travis,TX,30199
10/12/2020,Travis,TX,30265
10/13/2020,Travis,TX,30398
10/14/2020,Travis,TX,30398
10/15/2020,Travis,TX,30601
10/16/2020,Travis,TX,30688
10/17/2020,Travis,TX,30797
10/18/2020,Travis,TX,30908
10/19/2020,Travis,TX,30956
10/20/2020,Travis,TX,31053
10/21/2020,Travis,TX,31159
10/22/2020,Travis,TX,31228
10/23/2020,Travis,TX,31327
10/24/2020,Travis,TX,31411
10/25/2020,Travis,TX,31493
10/26/2020,Travis,TX,31551
10/27/2020,Travis,TX,31653
10/28/2020,Travis,TX,31775
10/29/2020,Travis,TX,31851
10/30/2020,Travis,TX,31943
10/31/2020,Travis,TX,32024
11/1/2020,Travis,TX,32143
11/2/2020,Travis,TX,32220
11/3/2020,Travis,TX,32303
11/4/2020,Travis,TX,32451
11/5/2020,Travis,TX,32605
11/6/2020,Travis,TX,32748
11/7/2020,Travis,TX,32928
11/8/2020,Travis,TX,33016
11/9/2020,Travis,TX,33168
11/10/2020,Travis,TX,33382
11/11/2020,Travis,TX,33559
11/12/2020,Travis,TX,33769
11/13/2020,Travis,TX,33960
11/14/2020,Travis,TX,34204
11/15/2020,Travis,TX,34504
11/16/2020,Travis,TX,34612
11/17/2020,Travis,TX,34769
11/18/2020,Travis,TX,35020
11/19/2020,Travis,TX,35326
11/20/2020,Travis,TX,35616
11/21/2020,Travis,TX,35984
11/22/2020,Travis,TX,36175
11/23/2020,Travis,TX,36436
11/24/2020,Travis,TX,36754
11/25/2020,Travis,TX,37120
11/26/2020,Travis,TX,37238
11/27/2020,Travis,TX,37238
11/28/2020,Travis,TX,37666
11/29/2020,Travis,TX,37898
11/30/2020,Travis,TX,38045
12/1/2020,Travis,TX,38377
12/2/2020,Travis,TX,38757
12/3/2020,Travis,TX,39037
12/4/2020,Travis,TX,39267
12/5/2020,Travis,TX,39566
12/6/2020,Travis,TX,39925
12/7/2020,Travis,TX,40209
12/8/2020,Travis,TX,40481
12/9/2020,Travis,TX,40836
12/10/2020,Travis,TX,41092
12/11/2020,Travis,TX,41519
12/12/2020,Travis,TX,41901
12/13/2020,Travis,TX,42136
12/14/2020,Travis,TX,42441
12/15/2020,Travis,TX,42856
12/16/2020,Travis,TX,43469
12/17/2020,Travis,TX,43836
12/18/2020,Travis,TX,44381
12/19/2020,Travis,TX,44796
12/20/2020,Travis,TX,45070
12/21/2020,Travis,TX,45492
12/22/2020,Travis,TX,46029
12/23/2020,Travis,TX,46701
12/24/2020,Travis,TX,47076
12/25/2020,Travis,TX,47076
12/26/2020,Travis,TX,47076
12/27/2020,Travis,TX,48208
12/28/2020,Travis,TX,48424
12/29/2020,Travis,TX,48951
12/30/2020,Travis,TX,49648
12/31/2020,Travis,TX,50194
1/1/2021,Travis,TX,50595
1/2/2021,Travis,TX,50595
1/3/2021,Travis,TX,51558
1/4/2021,Travis,TX,51956
1/5/2021,Travis,TX,52708
1/6/2021,Travis,TX,53272
1/7/2021,Travis,TX,53935
1/8/2021,Travis,TX,54814
1/9/2021,Travis,TX,55406
1/10/2021,Travis,TX,55870
1/11/2021,Travis,TX,55870
1/12/2021,Travis,TX,56825
1/13/2021,Travis,TX,56825
1/14/2021,Travis,TX,58286
1/15/2021,Travis,TX,59394
1/16/2021,Travis,TX,60084
1/17/2021,Travis,TX,60379
1/18/2021,Travis,TX,60782
1/19/2021,Travis,TX,61468
1/20/2021,Travis,TX,62302
1/21/2021,Travis,TX,63036
1/22/2021,Travis,TX,63751
1/23/2021,Travis,TX,64291
1/24/2021,Travis,TX,64658
1/25/2021,Travis,TX,64963
1/26/2021,Travis,TX,65507
1/27/2021,Travis,TX,66209
1/28/2021,Travis,TX,66859
1/29/2021,Travis,TX,67566
1/30/2021,Travis,TX,68020
1/31/2021,Travis,TX,68290
2/1/2021,Travis,TX,68731
2/2/2021,Travis,TX,69408
2/3/2021,Travis,TX,70089
2/4/2021,Travis,TX,70631
2/5/2021,Travis,TX,71164
2/6/2021,Travis,TX,71426
2/7/2021,Travis,TX,71623
2/8/2021,Travis,TX,71831
2/9/2021,Travis,TX,72279
2/10/2021,Travis,TX,72625
2/11/2021,Travis,TX,72972
2/12/2021,Travis,TX,73259
2/13/2021,Travis,TX,73538
2/14/2021,Travis,TX,73538
2/15/2021,Travis,TX,73538
2/16/2021,Travis,TX,73538
2/17/2021,Travis,TX,73538
2/18/2021,Travis,TX,73538
2/19/2021,Travis,TX,73538
2/20/2021,Travis,TX,73538
2/21/2021,Travis,TX,73538
2/22/2021,Travis,TX,73809
2/23/2021,Travis,TX,74206
2/24/2021,Travis,TX,74598
2/25/2021,Travis,TX,74835
2/26/2021,Travis,TX,75047
2/27/2021,Travis,TX,75362
2/28/2021,Travis,TX,75617
3/1/2021,Travis,TX,75636
3/2/2021,Travis,TX,75901
3/3/2021,Travis,TX,76088
3/4/2021,Travis,TX,76274
3/5/2021,Travis,TX,76365
3/6/2021,Travis,TX,76447
3/7/2021,Travis,TX,76507
3/8/2021,Travis,TX,76638
3/9/2021,Travis,TX,76742
3/10/2021,Travis,TX,76855
3/11/2021,Travis,TX,77082
3/12/2021,Travis,TX,77231
3/13/2021,Travis,TX,77329
3/14/2021,Travis,TX,77408
3/15/2021,Travis,TX,77485
3/16/2021,Travis,TX,77669
3/17/2021,Travis,TX,77775
3/18/2021,Travis,TX,77831
3/19/2021,Travis,TX,77916
3/20/2021,Travis,TX,78011
3/21/2021,Travis,TX,78108
3/22/2021,Travis,TX,78193
3/23/2021,Travis,TX,78308
3/24/2021,Travis,TX,78372
3/25/2021,Travis,TX,78496
3/26/2021,Travis,TX,78602
3/27/2021,Travis,TX,78661
3/28/2021,Travis,TX,78828
3/29/2021,Travis,TX,78907
3/30/2021,Travis,TX,78994
3/31/2021,Travis,TX,79085
4/1/2021,Travis,TX,79217
4/2/2021,Travis,TX,79324
4/3/2021,Travis,TX,79422
4/4/2021,Travis,TX,79493
4/5/2021,Travis,TX,79493
4/6/2021,Travis,TX,79645
4/7/2021,Travis,TX,79787
4/8/2021,Travis,TX,79922
4/9/2021,Travis,TX,80031
4/10/2021,Travis,TX,80132
4/11/2021,Travis,TX,80272
4/12/2021,Travis,TX,80446
4/13/2021,Travis,TX,80533
4/14/2021,Travis,TX,80642
4/15/2021,Travis,TX,80799
4/16/2021,Travis,TX,80909
4/17/2021,Travis,TX,81002
4/18/2021,Travis,TX,81138
4/19/2021,Travis,TX,81199
4/20/2021,Travis,TX,81342
4/21/2021,Travis,TX,81470
4/22/2021,Travis,TX,81551
4/23/2021,Travis,TX,81600
4/24/2021,Travis,TX,81686
4/25/2021,Travis,TX,81739
4/26/2021,Travis,TX,81811
4/27/2021,Travis,TX,81906
4/28/2021,Travis,TX,82057
4/29/2021,Travis,TX,82152
4/30/2021,Travis,TX,82257
5/1/2021,Travis,TX,82339
5/2/2021,Travis,TX,82402
5/3/2021,Travis,TX,82448
5/4/2021,Travis,TX,82526
5/5/2021,Travis,TX,82566
5/6/2021,Travis,TX,82658
5/7/2021,Travis,TX,82733
5/8/2021,Travis,TX,82815
5/9/2021,Travis,TX,82882
5/10/2021,Travis,TX,82901
5/11/2021,Travis,TX,83002
5/12/2021,Travis,TX,83062
5/13/2021,Travis,TX,83145
5/14/2021,Travis,TX,83201
5/15/2021,Travis,TX,83261
5/16/2021,Travis,TX,83261
5/17/2021,Travis,TX,83261
5/18/2021,Travis,TX,83366
5/19/2021,Travis,TX,83403
5/20/2021,Travis,TX,83457
5/21/2021,Travis,TX,83495
5/22/2021,Travis,TX,83524
5/23/2021,Travis,TX,83524
5/24/2021,Travis,TX,83524
5/25/2021,Travis,TX,83524
5/26/2021,Travis,TX,83616
5/27/2021,Travis,TX,83650
5/28/2021,Travis,TX,83693
5/29/2021,Travis,TX,83722
5/30/2021,Travis,TX,83722
5/31/2021,Travis,TX,83722
6/1/2021,Travis,TX,83722
6/2/2021,Travis,TX,83765
6/3/2021,Travis,TX,83830
6/4/2021,Travis,TX,83878
6/5/2021,Travis,TX,83910
6/6/2021,Travis,TX,83910
6/7/2021,Travis,TX,83910
6/8/2021,Travis,TX,83962
6/9/2021,Travis,TX,84047
6/10/2021,Travis,TX,84072
6/11/2021,Travis,TX,84104
6/12/2021,Travis,TX,84104
6/13/2021,Travis,TX,84104
6/14/2021,Travis,TX,84104
6/15/2021,Travis,TX,84104
6/16/2021,Travis,TX,84274
6/17/2021,Travis,TX,84303
6/18/2021,Travis,TX,84344
6/19/2021,Travis,TX,84344
6/20/2021,Travis,TX,84344
6/21/2021,Travis,TX,84344
6/22/2021,Travis,TX,84383
6/23/2021,Travis,TX,84467
6/24/2021,Travis,TX,84509
6/25/2021,Travis,TX,84534
6/26/2021,Travis,TX,84571
6/27/2021,Travis,TX,84571
6/28/2021,Travis,TX,84571
6/29/2021,Travis,TX,84610
6/30/2021,Travis,TX,84706
7/1/2021,Travis,TX,84728
7/2/2021,Travis,TX,84770
7/3/2021,Travis,TX,84842
7/4/2021,Travis,TX,84842
7/5/2021,Travis,TX,84842
7/6/2021,Travis,TX,84842
7/7/2021,Travis,TX,84888
7/8/2021,Travis,TX,85047
7/9/2021,Travis,TX,85127
7/10/2021,Travis,TX,85199
7/11/2021,Travis,TX,85199
7/12/2021,Travis,TX,85199
7/13/2021,Travis,TX,85284
7/14/2021,Travis,TX,85486
7/15/2021,Travis,TX,85614
7/16/2021,Travis,TX,85787
7/17/2021,Travis,TX,85920
7/18/2021,Travis,TX,85920
7/19/2021,Travis,TX,85920
7/20/2021,Travis,TX,86079
7/21/2021,Travis,TX,86361
7/22/2021,Travis,TX,86524
7/23/2021,Travis,TX,86826
7/24/2021,Travis,TX,87125
7/25/2021,Travis,TX,87125
7/26/2021,Travis,TX,87125
7/27/2021,Travis,TX,87571
7/28/2021,Travis,TX,87946
7/29/2021,Travis,TX,88436
7/30/2021,Travis,TX,88887
7/31/2021,Travis,TX,89433
8/1/2021,Travis,TX,89433
8/2/2021,Travis,TX,89433
8/3/2021,Travis,TX,90126
8/4/2021,Travis,TX,90727
8/5/2021,Travis,TX,91254
8/6/2021,Travis,TX,91894
8/7/2021,Travis,TX,92361
8/8/2021,Travis,TX,92361
8/9/2021,Travis,TX,92361
8/10/2021,Travis,TX,92806
8/11/2021,Travis,TX,93389
8/12/2021,Travis,TX,93922
8/13/2021,Travis,TX,94400
8/14/2021,Travis,TX,95054
8/15/2021,Travis,TX,95054
8/16/2021,Travis,TX,95054
8/17/2021,Travis,TX,96009
8/18/2021,Travis,TX,96668
8/19/2021,Travis,TX,97515
8/20/2021,Travis,TX,98256
8/21/2021,Travis,TX,99009
8/22/2021,Travis,TX,99009
8/23/2021,Travis,TX,99009
8/24/2021,Travis,TX,99717
8/25/2021,Travis,TX,100341
8/26/2021,Travis,TX,100976
8/27/2021,Travis,TX,101576
8/28/2021,Travis,TX,102283
8/29/2021,Travis,TX,102283
8/30/2021,Travis,TX,102283
8/31/2021,Travis,TX,103169
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
